VERSION;7.2.1.201802190531
DATE;01/08/2018 07:46
ITERATION;MODEL;OBJECTIVE FUNCTION;VALUE
1;base0002;NQDS BHP WELL PROD10;-0.3223893223775823
1;base0002;NQDS QWI WELL INJ1;0.0
1;base0002;NQDS BHP WELL INJ1;0.1967672007680899
1;base0002;NQDS QWI WELL INJ2;0.0
1;base0002;NQDS BHP WELL INJ2;-0.1700691015791793
1;base0002;NQDS QWI WELL INJ3;0.0
1;base0002;NQDS BHP WELL INJ3;-0.259222969845228
1;base0002;NQDS QWI WELL INJ4;0.0
1;base0002;NQDS BHP WELL INJ4;-0.3424484936355762
1;base0002;NQDS QWI WELL INJ5;0.0
1;base0002;NQDS BHP WELL INJ5;-0.334042187724399
1;base0002;NQDS QWI WELL INJ6;0.0
1;base0002;NQDS BHP WELL INJ6;0.3232942761898874
1;base0002;NQDS QWI WELL INJ7;0.0
1;base0002;NQDS BHP WELL INJ7;-1.357185733832214
1;base0002;NQDS QWI WELL INJ8;0.0
1;base0002;NQDS BHP WELL INJ8;-0.2393984214180493
1;base0002;NQDS QWI WELL INJ9;0.0
1;base0002;NQDS BHP WELL INJ9;-0.4855488117655914
1;base0003;NQDS QL WELL WILDCAT;7.062577677145756E-11
1;base0003;NQDS QW WELL WILDCAT;-21.90534587452396
1;base0003;NQDS QO WELL WILDCAT;0.6042771873359394
1;base0003;NQDS BHP WELL WILDCAT;-0.3780132439583656
1;base0003;NQDS QL WELL PROD1;5.449358731416626E-10
1;base0003;NQDS QW WELL PROD1;-4.181683919070748
1;base0003;NQDS QO WELL PROD1;0.3877929103032382
1;base0003;NQDS BHP WELL PROD1;-0.1985225497812885
1;base0003;NQDS QL WELL PROD2;4.91384716298349E-10
1;base0003;NQDS QW WELL PROD2;-4.930430437765199
1;base0003;NQDS QO WELL PROD2;1.110862999431421
1;base0003;NQDS BHP WELL PROD2;0.1573293092185509
1;base0003;NQDS QL WELL PROD3;3.831816770029441E-11
1;base0003;NQDS QW WELL PROD3;1.079266336219346E-9
1;base0003;NQDS QO WELL PROD3;0.0
1;base0003;NQDS BHP WELL PROD3;-0.6295385625392624
1;base0003;NQDS QL WELL PROD4;-3.145887522976569E-10
1;base0003;NQDS QW WELL PROD4;-2.575322168680684
1;base0003;NQDS QO WELL PROD4;0.1954686069433918
