VERSION;7.2.1.201802190531
DATE;05/09/2018 10:24
ITERATION;MODEL;OBJECTIVE FUNCTION;VALUE
1;base0001;NQDS QL WELL WILDCAT;-1.105802634500843E-10
1;base0001;NQDS QW WELL WILDCAT;-4.837692180197982
1;base0001;NQDS QO WELL WILDCAT;0.1334533887641278
1;base0001;NQDS BHP WELL WILDCAT;-0.5214825064993656
1;base0001;NQDS QL WELL PROD1;4.490442192549632E-10
1;base0001;NQDS QW WELL PROD1;-3.379822895457344
1;base0001;NQDS QO WELL PROD1;0.3134203202223958
1;base0001;NQDS BHP WELL PROD1;-0.3075466415185462
1;base0001;NQDS QL WELL PROD2;4.388836352226729E-10
1;base0001;NQDS QW WELL PROD2;-6.339964088800629
1;base0001;NQDS QO WELL PROD2;1.428553034924777
1;base0001;NQDS BHP WELL PROD2;-0.2286973819336732
1;base0001;NQDS QL WELL PROD3;2.491877841680077E-14
1;base0001;NQDS QW WELL PROD3;7.018602479981224E-13
1;base0001;NQDS QO WELL PROD3;0.0
1;base0001;NQDS BHP WELL PROD3;-0.823047246435259
1;base0001;NQDS QL WELL PROD4;-4.088342045328749E-10
1;base0001;NQDS QW WELL PROD4;3.502188923925068
1;base0001;NQDS QO WELL PROD4;-0.2657892642900627
1;base0001;NQDS BHP WELL PROD4;-0.5992141821914289
1;base0001;NQDS QL WELL PROD5;1.740828335696483E-11
1;base0001;NQDS QW WELL PROD5;4.47543284373433E-8
1;base0001;NQDS QO WELL PROD5;1.435734750669423E-9
1;base0001;NQDS BHP WELL PROD5;-1.140320385069133
1;base0001;NQDS QL WELL PROD6;3.561471877139692E-10
1;base0001;NQDS QW WELL PROD6;-46.52308903462977
1;base0001;NQDS QO WELL PROD6;1.827260513249074
1;base0001;NQDS BHP WELL PROD6;-5.336606632106663
1;base0001;NQDS QL WELL PROD7;-4.121074556962629E-10
1;base0001;NQDS QW WELL PROD7;-0.7170540394277042
1;base0001;NQDS QO WELL PROD7;0.08083459409999784
1;base0001;NQDS BHP WELL PROD7;-0.6830871561045951
1;base0001;NQDS QL WELL PROD8;4.730649633498362E-10
1;base0001;NQDS QW WELL PROD8;-4.026789983395516
1;base0001;NQDS QO WELL PROD8;0.06944012098966643
1;base0001;NQDS BHP WELL PROD8;-0.4904858138138233
1;base0001;NQDS QL WELL PROD9;2.40442593516381E-10
1;base0001;NQDS QW WELL PROD9;-32.63773253145318
1;base0001;NQDS QO WELL PROD9;0.7668528757553873
1;base0001;NQDS BHP WELL PROD9;-0.4091559437105471
1;base0001;NQDS QL WELL PROD10;1.880101464272051E-10
1;base0001;NQDS QW WELL PROD10;-0.8985172101390488
1;base0001;NQDS QO WELL PROD10;0.02202071170954029
1;base0001;NQDS BHP WELL PROD10;-0.4369105787242193
1;base0001;NQDS QWI WELL INJ1;0.0
1;base0001;NQDS BHP WELL INJ1;-0.1859715995079253
1;base0001;NQDS QWI WELL INJ2;0.0
1;base0001;NQDS BHP WELL INJ2;-0.1939426538595667
1;base0001;NQDS QWI WELL INJ3;0.0
1;base0001;NQDS BHP WELL INJ3;0.3436868470178501
1;base0001;NQDS QWI WELL INJ4;0.0
1;base0001;NQDS BHP WELL INJ4;-0.7816040576697046
1;base0001;NQDS QWI WELL INJ5;0.0
1;base0001;NQDS BHP WELL INJ5;-0.2741094924603037
1;base0001;NQDS QWI WELL INJ6;0.0
1;base0001;NQDS BHP WELL INJ6;-0.3451991412259929
1;base0001;NQDS QWI WELL INJ7;0.0
1;base0001;NQDS BHP WELL INJ7;-0.6398035240919066
1;base0001;NQDS QWI WELL INJ8;0.0
1;base0001;NQDS BHP WELL INJ8;-0.1894830904011096
1;base0001;NQDS QWI WELL INJ9;0.0
1;base0001;NQDS BHP WELL INJ9;-0.4346531143397658
1;base0002;NQDS QL WELL WILDCAT;2.422056054613758E-10
1;base0002;NQDS QW WELL WILDCAT;-1.373013622670636
1;base0002;NQDS QO WELL WILDCAT;0.03787466422171017
1;base0002;NQDS BHP WELL WILDCAT;-0.8431370582950259
1;base0002;NQDS QL WELL PROD1;5.82189763172448E-10
1;base0002;NQDS QW WELL PROD1;4.85217808962527
1;base0002;NQDS QO WELL PROD1;-0.4499690574126359
1;base0002;NQDS BHP WELL PROD1;-0.3288905354805658
1;base0002;NQDS QL WELL PROD2;-5.984686302234883E-10
1;base0002;NQDS QW WELL PROD2;1.633662462771137
1;base0002;NQDS QO WELL PROD2;-0.3682753428693243
1;base0002;NQDS BHP WELL PROD2;0.3863641906629201
1;base0002;NQDS QL WELL PROD3;2.632174799717728E-14
1;base0002;NQDS QW WELL PROD3;7.413761729422193E-13
1;base0002;NQDS QO WELL PROD3;0.0
1;base0002;NQDS BHP WELL PROD3;-0.8935219095137027
1;base0002;NQDS QL WELL PROD4;-3.479555492327191E-10
1;base0002;NQDS QW WELL PROD4;1.62078274778629
1;base0002;NQDS QO WELL PROD4;-0.1230176660387017
1;base0002;NQDS BHP WELL PROD4;-0.6024919867272615
1;base0002;NQDS QL WELL PROD5;1.169330533124679E-11
1;base0002;NQDS QW WELL PROD5;3.856290750341928E-10
1;base0002;NQDS QO WELL PROD5;2.871469501338845E-9
1;base0002;NQDS BHP WELL PROD5;-3.487608267052927
1;base0002;NQDS QL WELL PROD6;-6.740468956295643E-10
1;base0002;NQDS QW WELL PROD6;-19.36196235537147
1;base0002;NQDS QO WELL PROD6;0.7604648412500526
1;base0002;NQDS BHP WELL PROD6;-0.5363016878914356
1;base0002;NQDS QL WELL PROD7;-5.360492869292739E-10
1;base0002;NQDS QW WELL PROD7;-5.435525207444572
1;base0002;NQDS QO WELL PROD7;0.6130259886241703
1;base0002;NQDS BHP WELL PROD7;-0.6425277758650724
1;base0002;NQDS QL WELL PROD8;2.356856982696883E-10
1;base0002;NQDS QW WELL PROD8;1.280413605057997
1;base0002;NQDS QO WELL PROD8;-0.02207659454859037
1;base0002;NQDS BHP WELL PROD8;0.5745181548815937
1;base0002;NQDS QL WELL PROD9;4.054657726788513E-10
1;base0002;NQDS QW WELL PROD9;15.23712345524548
1;base0002;NQDS QO WELL PROD9;-0.3579906513593058
1;base0002;NQDS BHP WELL PROD9;0.462668758603782
1;base0002;NQDS QL WELL PROD10;-1.742913095933247E-10
1;base0002;NQDS QW WELL PROD10;1.809418430433598
1;base0002;NQDS QO WELL PROD10;-0.04435186145627516
1;base0002;NQDS BHP WELL PROD10;-0.4606248241536002
1;base0002;NQDS QWI WELL INJ1;0.0
1;base0002;NQDS BHP WELL INJ1;-0.2887189091160717
1;base0002;NQDS QWI WELL INJ2;0.0
1;base0002;NQDS BHP WELL INJ2;-0.2422938941978721
1;base0002;NQDS QWI WELL INJ3;0.0
1;base0002;NQDS BHP WELL INJ3;0.3794945515581526
1;base0002;NQDS QWI WELL INJ4;0.0
1;base0002;NQDS BHP WELL INJ4;-0.6998040896111779
1;base0002;NQDS QWI WELL INJ5;0.0
1;base0002;NQDS BHP WELL INJ5;-0.3011386724954298
1;base0002;NQDS QWI WELL INJ6;0.0
1;base0002;NQDS BHP WELL INJ6;-0.3679838453339315
1;base0002;NQDS QWI WELL INJ7;0.0
1;base0002;NQDS BHP WELL INJ7;-0.6941846467310901
1;base0002;NQDS QWI WELL INJ8;0.0
1;base0002;NQDS BHP WELL INJ8;-0.2527401159675755
1;base0002;NQDS QWI WELL INJ9;0.0
1;base0002;NQDS BHP WELL INJ9;-0.4770101502708497
1;base0003;NQDS QL WELL WILDCAT;1.470010688997577E-10
1;base0003;NQDS QW WELL WILDCAT;-3.694814975725334
1;base0003;NQDS QO WELL WILDCAT;0.1019247370912208
1;base0003;NQDS BHP WELL WILDCAT;-0.4929274135508966
1;base0003;NQDS QL WELL PROD1;-2.632980651721328E-10
1;base0003;NQDS QW WELL PROD1;0.9246275590963386
1;base0003;NQDS QO WELL PROD1;-0.08574915071500762
1;base0003;NQDS BHP WELL PROD1;-0.2994071800594801
1;base0003;NQDS QL WELL PROD2;-4.3716473755252E-10
1;base0003;NQDS QW WELL PROD2;-1.311735980588895
1;base0003;NQDS QO WELL PROD2;0.2955810533886212
1;base0003;NQDS BHP WELL PROD2;-0.2383373782885538
1;base0003;NQDS QL WELL PROD3;1.972842096583758E-14
1;base0003;NQDS QW WELL PROD3;5.556690701322041E-13
1;base0003;NQDS QO WELL PROD3;0.0
1;base0003;NQDS BHP WELL PROD3;-0.7088946357617607
1;base0003;NQDS QL WELL PROD4;-4.126654514803847E-10
